Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
77130;77580;COULOMMES;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;136.0;371.0;0.4;48.8919104938, 2.92942534432;"{""type"": ""Polygon"", ""coordinates"": [[[2.940606125441584, 48.879919802533706], [2.926093216642636, 48.88366180733451], [2.917625156739207, 48.89237045709014], [2.904617286875172, 48.89817920912624], [2.934729478748376, 48.90166165602039], [2.943224308687658, 48.892178493063064], [2.943903381728955, 48.882151660018636], [2.940606125441584, 48.879919802533706]]]}";31737;130;08;1;77;11
94017;94500;CHAMPIGNY-SUR-MARNE;VAL-DE-MARNE;ILE-DE-FRANCE;Chef-lieu canton;67.0;1130.0;75.1;48.817254364, 2.51709815257;"{""type"": ""Polygon"", ""coordinates"": [[[2.522283140880501, 48.80406560133557], [2.515605843569177, 48.80908424025652], [2.480185391468517, 48.813522296204546], [2.48236078241142, 48.81935966840254], [2.475805615804708, 48.830618156735014], [2.497599519350123, 48.8308106206705], [2.504679851760673, 48.82972494684112], [2.525040142393285, 48.82725335459993], [2.528268585936217, 48.821213419665234], [2.537246203840921, 48.81790285699676], [2.557409057305268, 48.81870767633058], [2.563813094764562, 48.813460917303935], [2.558510958867672, 48.80759553820275], [2.550955979507981, 48.80419473788211], [2.536506336525221, 48.80614519645843], [2.522283140880501, 48.80406560133557]]]}";32497;017;94;2;94;11
95370;95640;MARINES;VAL-D'OISE;ILE-DE-FRANCE;Chef-lieu canton;133.0;831.0;3.2;49.1480448573, 1.98376019265;"{""type"": ""Polygon"", ""coordinates"": [[[1.9820719819381, 49.130820435029676], [1.960922717983235, 49.1448283939308], [1.960146791379805, 49.147977716709725], [1.977989499540045, 49.16412625666856], [1.991888849136622, 49.168532282924296], [1.990512655439658, 49.1631619371027], [1.995860194305206, 49.15889980308915], [2.001783968527138, 49.15029935116749], [2.003901537293638, 49.13783672154356], [2.000269375996585, 49.135738545711845], [1.9820719819381, 49.130820435029676]]]}";34671;370;17;3;95;11
91099;91820;BOUTIGNY-SUR-ESSONNE;ESSONNE;ILE-DE-FRANCE;Commune simple;110.0;1621.0;3.1;48.4361818403, 2.3954223757;"{""type"": ""Polygon"", ""coordinates"": [[[2.387445387673878, 48.41131457674956], [2.373348908288655, 48.43411964290377], [2.361591411994979, 48.43930201617323], [2.36247914039292, 48.44860027886179], [2.399871546013018, 48.46041870293054], [2.407660084975451, 48.46065574026465], [2.412700367714457, 48.45627251706655], [2.412595452150486, 48.4463038679496], [2.422191386429491, 48.434484490346], [2.423931907811837, 48.42124087329023], [2.416290576127806, 48.41557156644885], [2.387445387673878, 48.41131457674956]]]}";19556;099;11;1;91;11
78601;78120;SONCHAMP;YVELINES;ILE-DE-FRANCE;Commune simple;160.0;4637.0;1.6;48.5880930813, 1.86888636176;"{""type"": ""Polygon"", ""coordinates"": [[[1.894074289416378, 48.53501164383857], [1.876130328804532, 48.5417167408192], [1.872429327359197, 48.54812320527914], [1.854753509887771, 48.56020749406361], [1.850072194783583, 48.5616917237851], [1.840521462342749, 48.55903502304753], [1.832589596326585, 48.56344667318684], [1.832309037057336, 48.57117184147552], [1.824448494848358, 48.594044042250694], [1.830928941349298, 48.62026860357493], [1.857693811733357, 48.63423813530981], [1.877043502156955, 48.63507880714333], [1.892020272511097, 48.6264480901866], [1.875220602437732, 48.61443395818185], [1.928634188017245, 48.58195604403426], [1.915249582258416, 48.57682391013692], [1.908747603227967, 48.567444335631116], [1.89979388772912, 48.563925275049506], [1.902147088068116, 48.557703548980406], [1.894945097251211, 48.553471523632986], [1.896490743465938, 48.537984960562504], [1.894074289416378, 48.53501164383857]]]}";4095;601;19;2;78;11
77437;77165;SAINT-SOUPPLETS;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;114.0;1373.0;3.2;49.0367930626, 2.80251354691;"{""type"": ""Polygon"", ""coordinates"": [[[2.806359889910541, 49.01459332316308], [2.800648241985168, 49.01748836108112], [2.782012745720865, 49.02767971443824], [2.772426459725234, 49.027895716219454], [2.769159357535804, 49.033833054951785], [2.773976307038935, 49.03938113035403], [2.760515447345947, 49.042951727279025], [2.77287497816128, 49.04727375146559], [2.786975268422119, 49.04793799049387], [2.805349614006751, 49.0543622013378], [2.821153884292032, 49.05351458426419], [2.833658424611049, 49.0448286636673], [2.835401471124388, 49.03865378049906], [2.825266899752449, 49.02650957739296], [2.806359889910541, 49.01459332316308]]]}";3048;437;09;1;77;11
78290;78520;GUERNES;YVELINES;ILE-DE-FRANCE;Commune simple;33.0;864.0;1.0;49.0153671856, 1.64238528866;"{""type"": ""Polygon"", ""coordinates"": [[[1.657976270809111, 49.0061140378729], [1.637020400241068, 49.00401625754673], [1.614141978738677, 49.012046093008784], [1.617036579851304, 49.02810540843471], [1.618329690702563, 49.0288487411872], [1.626314179065169, 49.024803507207736], [1.636215679875999, 49.02581570382596], [1.674538185087175, 49.01921229519114], [1.670579802585331, 49.008259801912104], [1.657976270809111, 49.0061140378729]]]}";12362;290;10;1;78;11
77129;77840;COULOMBS-EN-VALOIS;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;133.0;2247.0;0.6;49.0777461945, 3.12814777064;"{""type"": ""Polygon"", ""coordinates"": [[[3.14635063333658, 49.042363993858544], [3.122728733678624, 49.05367493246203], [3.120924300173531, 49.060150671008], [3.096436225485378, 49.06191717124573], [3.087788892292767, 49.07011501644325], [3.089791102835012, 49.08045361902049], [3.110960394294643, 49.09065903744933], [3.114515245664615, 49.10715450524236], [3.121325593040838, 49.108892100079714], [3.123690242881653, 49.10695660622245], [3.138616128018877, 49.10646380104072], [3.150293851791679, 49.1004526851722], [3.165230357711184, 49.09965984912414], [3.155808271244327, 49.08550223857642], [3.158681073767469, 49.080409393367106], [3.14555336209745, 49.075094127661124], [3.145599215160022, 49.06217336867339], [3.157786921345649, 49.04744778133746], [3.154625819518979, 49.04243455104665], [3.14635063333658, 49.042363993858544]]]}";21823;129;15;1;77;11
77104;77610;CHATRES;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;108.0;1516.0;0.6;48.7127586287, 2.8158417118;"{""type"": ""Polygon"", ""coordinates"": [[[2.803654236815006, 48.677951467217945], [2.800054214085713, 48.68524011483693], [2.802490007965168, 48.691315501963736], [2.796289896498053, 48.69608116380276], [2.797312291597524, 48.70572497214611], [2.784377601956633, 48.71498451314621], [2.785880254414447, 48.71646229319389], [2.799529726856389, 48.72991448433314], [2.81431129309669, 48.72910193085089], [2.817511758680304, 48.73531287771071], [2.836510024888224, 48.73437803017079], [2.848869783468873, 48.72964537395772], [2.847523864797403, 48.72496665263665], [2.837256114087379, 48.708754301072744], [2.820990231016609, 48.70031221763859], [2.815411156869839, 48.68332204326006], [2.803654236815006, 48.677951467217945]]]}";28112;104;28;2;77;11
94080;94300;VINCENNES;VAL-DE-MARNE;ILE-DE-FRANCE;Chef-lieu canton;55.0;191.0;48.7;48.8473732045, 2.43798650741;"{""type"": ""Polygon"", ""coordinates"": [[[2.427516511860881, 48.841575821289226], [2.428110579453695, 48.84455552923826], [2.419546960746261, 48.846357961806795], [2.418968740818384, 48.849332011243774], [2.429167050346281, 48.84886847284359], [2.437246481853589, 48.852791932880464], [2.447103397771503, 48.85115610761062], [2.455516394414248, 48.849404986731415], [2.456159814159023, 48.84651200859662], [2.447852027015208, 48.84481015467711], [2.427516511860881, 48.841575821289226]]]}";29658;080;98;2;94;11
